order_id,product,quantity_ordered,price_each,order_date,purchase_address,month_name
176558,USB-C Charging Cable,2,11.949999809265137,2019-04-19 08:46:00,"917 1st St, Dallas, TX 75001",April
176559,Bose SoundSport Headphones,1,99.98999786376952,2019-07-04 22:30:00,"682 Chestnut St, Boston, MA 02215",July
176560,Google Phone,1,600.0,2019-12-04 14:38:00,"669 Spruce St, Los Angeles, CA 90001",December
176560,Wired Headphones,1,11.989999771118164,2019-12-04 14:38:00,"669 Spruce St, Los Angeles, CA 90001",December
176561,Wired Headphones,1,11.989999771118164,2019-04-30 09:27:00,"333 8th St, Los Angeles, CA 90001",April
176562,USB-C Charging Cable,1,11.949999809265137,2019-04-29 13:03:00,"381 Wilson St, San Francisco, CA 94016",April
176563,Bose SoundSport Headphones,1,99.98999786376952,2019-02-04 07:46:00,"668 Center St, Seattle, WA 98101",February
176564,USB-C Charging Cable,1,11.949999809265137,2019-12-04 10:58:00,"790 Ridge St, Atlanta, GA 30301",December
176565,Macbook Pro Laptop,1,1700.0,2019-04-24 10:38:00,"915 Willow St, San Francisco, CA 94016",April
176566,Wired Headphones,1,11.989999771118164,2019-08-04 14:05:00,"83 7th St, Boston, MA 02215",August
176567,Google Phone,1,600.0,2019-04-18 17:18:00,"444 7th St, Los Angeles, CA 90001",April
176568,Lightning Charging Cable,1,14.949999809265137,2019-04-15 12:18:00,"438 Elm St, Seattle, WA 98101",April
176569,27in 4K Gaming Monitor,1,389.989990234375,2019-04-16 19:23:00,"657 Hill St, Dallas, TX 75001",April
176570,AA Batteries (4-pack),1,3.839999914169312,2019-04-22 15:09:00,"186 12th St, Dallas, TX 75001",April
176571,Lightning Charging Cable,1,14.949999809265137,2019-04-19 14:29:00,"253 Johnson St, Atlanta, GA 30301",April
176572,Apple Airpods Headphones,1,150.0,2019-04-04 20:30:00,"149 Dogwood St, New York City, NY 10001",April
176573,USB-C Charging Cable,1,11.949999809265137,2019-04-27 18:41:00,"214 Chestnut St, San Francisco, CA 94016",April
176574,Google Phone,1,600.0,2019-03-04 19:42:00,"20 Hill St, Los Angeles, CA 90001",March
176574,USB-C Charging Cable,1,11.949999809265137,2019-03-04 19:42:00,"20 Hill St, Los Angeles, CA 90001",March
176575,AAA Batteries (4-pack),1,2.990000009536743,2019-04-27 00:30:00,"433 Hill St, New York City, NY 10001",April
176576,Apple Airpods Headphones,1,150.0,2019-04-28 11:42:00,"771 Ridge St, Los Angeles, CA 90001",April
176577,Apple Airpods Headphones,1,150.0,2019-04-04 19:25:00,"260 Spruce St, Dallas, TX 75001",April
176578,Apple Airpods Headphones,1,150.0,2019-09-04 23:35:00,"513 Church St, Boston, MA 02215",September
176579,AA Batteries (4-pack),1,3.839999914169312,2019-11-04 10:23:00,"886 Jefferson St, New York City, NY 10001",November
176580,USB-C Charging Cable,1,11.949999809265137,2019-05-04 00:35:00,"886 Willow St, Los Angeles, CA 90001",May
176581,iPhone,1,700.0,2019-09-04 21:38:00,"84 Jackson St, Boston, MA 02215",September
176582,Bose SoundSport Headphones,1,99.98999786376952,2019-04-27 12:20:00,"178 Lincoln St, Atlanta, GA 30301",April
176583,AAA Batteries (4-pack),2,2.990000009536743,2019-04-20 12:00:00,"146 Jackson St, Portland, OR 97035",April
176584,Flatscreen TV,1,300.0,2019-04-24 20:39:00,"936 Church St, San Francisco, CA 94016",April
176585,Bose SoundSport Headphones,1,99.98999786376952,2019-07-04 11:31:00,"823 Highland St, Boston, MA 02215",July
176585,Bose SoundSport Headphones,1,99.98999786376952,2019-07-04 11:31:00,"823 Highland St, Boston, MA 02215",July
176586,AAA Batteries (4-pack),2,2.990000009536743,2019-10-04 17:00:00,"365 Center St, San Francisco, CA 94016",October
176586,Google Phone,1,600.0,2019-10-04 17:00:00,"365 Center St, San Francisco, CA 94016",October
176587,27in FHD Monitor,1,149.99000549316406,2019-04-29 19:38:00,"557 5th St, Los Angeles, CA 90001",April
176588,20in Monitor,1,109.98999786376952,2019-02-04 04:00:00,"765 Cherry St, Seattle, WA 98101",February
176589,Lightning Charging Cable,1,14.949999809265137,2019-04-04 12:23:00,"846 Highland St, Atlanta, GA 30301",April
176590,Google Phone,1,600.0,2019-11-04 11:46:00,"873 6th St, New York City, NY 10001",November
176591,Apple Airpods Headphones,1,150.0,2019-04-21 07:21:00,"600 Maple St, Austin, TX 73301",April
176592,USB-C Charging Cable,1,11.949999809265137,2019-04-27 13:04:00,"352 4th St, Los Angeles, CA 90001",April
176593,Lightning Charging Cable,2,14.949999809265137,2019-04-15 13:45:00,"906 7th St, Portland, OR 97035",April
